tela;arquivo;modulo;classificacao;usa_api_ou_client;usa_cache_ou_storage_local;marcadores_mock_demo
Atlas Commercial Dashboard;features/commercial_platform/presentation/screens/atlas_commercial_dashboard_screen.dart;commercial_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Commercial Readiness;features/commercial_readiness/presentation/screens/atlas_commercial_readiness_screen.dart;commercial_readiness;ADMIN_OU_OPERACIONAL;False;False;demo
Atlas Copilot;features/copilot/presentation/screens/atlas_copilot_screen.dart;copilot;ADMIN_OU_OPERACIONAL;False;False;
Atlas Copilot Conversation Viewer;features/copilot/presentation/screens/atlas_copilot_conversation_viewer_screen.dart;copilot;ADMIN_OU_OPERACIONAL;False;True;
Atlas Copilot Feedback Analytics;features/copilot/presentation/screens/atlas_copilot_feedback_analytics_screen.dart;copilot;ADMIN_OU_OPERACIONAL;False;False;
Atlas Copilot History;features/copilot/presentation/screens/atlas_copilot_history_screen.dart;copilot;ADMIN_OU_OPERACIONAL;False;True;
Atlas Copilot Improvement;features/copilot/presentation/screens/atlas_copilot_improvement_screen.dart;copilot;ADMIN_OU_OPERACIONAL;False;False;
Atlas Commercial;core/operational_intelligence/action_plan/atlas_commercial_screen.dart;core;ADMIN_OU_OPERACIONAL;False;False;
Atlas Release Candidate;core/release_candidate/atlas_release_candidate_screen.dart;core;ADMIN_OU_OPERACIONAL;False;False;
Atlas Data Governance;features/data_governance/presentation/screens/atlas_data_governance_screen.dart;data_governance;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise Operations;features/enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart;enterprise_operations;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise 24A;features/enterprise_platform/presentation/screens/atlas_enterprise_24a_screen.dart;enterprise_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise 24B;features/enterprise_platform/presentation/screens/atlas_enterprise_24b_screen.dart;enterprise_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise 24C;features/enterprise_platform/presentation/screens/atlas_enterprise_24c_screen.dart;enterprise_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise 24D;features/enterprise_platform/presentation/screens/atlas_enterprise_24d_screen.dart;enterprise_platform;ADMIN_OU_OPERACIONAL;True;False;
Atlas Enterprise Platform;features/enterprise_platform/presentation/screens/atlas_enterprise_platform_screen.dart;enterprise_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Flutter Quality;features/flutter_quality/presentation/screens/atlas_flutter_quality_screen.dart;flutter_quality;ADMIN_OU_OPERACIONAL;False;False;
Atlas Governance Resilience;features/governance_resilience/presentation/screens/atlas_governance_resilience_screen.dart;governance_resilience;ADMIN_OU_OPERACIONAL;False;False;
Atlas Iot Enterprise;features/iot_enterprise/presentation/screens/atlas_iot_enterprise_screen.dart;iot_enterprise;ADMIN_OU_OPERACIONAL;False;False;
Atlas Ml Platform;features/ml_platform/presentation/screens/atlas_ml_platform_screen.dart;ml_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Operational Readiness;features/operational_readiness/presentation/screens/atlas_operational_readiness_screen.dart;operational_readiness;ADMIN_OU_OPERACIONAL;False;False;
Atlas Pilot Program;features/pilot_program/presentation/screens/atlas_pilot_program_screen.dart;pilot_program;ADMIN_OU_OPERACIONAL;False;False;
Atlas Platform Dashboard;features/platform_v1/presentation/screens/atlas_platform_dashboard_screen.dart;platform_v1;ADMIN_OU_OPERACIONAL;False;False;
Atlas Publication Center;features/publication_center/presentation/screens/atlas_publication_center_screen.dart;publication_center;ADMIN_OU_OPERACIONAL;False;False;
Atlas Quality Center;features/quality_center/presentation/screens/atlas_quality_center_screen.dart;quality_center;ADMIN_OU_OPERACIONAL;False;False;
Atlas Release Engineering;features/release_engineering/presentation/screens/atlas_release_engineering_screen.dart;release_engineering;ADMIN_OU_OPERACIONAL;False;False;
Atlas Release Center;features/release_management/presentation/screens/atlas_release_center_screen.dart;release_management;ADMIN_OU_OPERACIONAL;False;False;
Atlas Saas Admin;features/saas_admin/presentation/screens/atlas_saas_admin_screen.dart;saas_admin;ADMIN_OU_OPERACIONAL;False;False;
Atlas Security Center;features/security_center/presentation/screens/atlas_security_center_screen.dart;security_center;ADMIN_OU_OPERACIONAL;False;False;
Atlas Security Privacy Continuity;features/security_privacy_continuity/presentation/screens/atlas_security_privacy_continuity_screen.dart;security_privacy_continuity;ADMIN_OU_OPERACIONAL;False;False;
Atlas Sync Dashboard;features/sync_platform/presentation/screens/atlas_sync_dashboard_screen.dart;sync_platform;ADMIN_OU_OPERACIONAL;False;False;
Atlas Value Governance;features/value_governance/presentation/screens/atlas_value_governance_screen.dart;value_governance;ADMIN_OU_OPERACIONAL;False;False;
Atlas Bi Dashboard;features/analytics/presentation/screens/atlas_bi_dashboard_screen.dart;analytics;AVANCADO_POS_V1;False;False;
Animal Intelligence 360;features/animal_intelligence_360/presentation/screens/animal_intelligence_360_screen.dart;animal_intelligence_360;AVANCADO_POS_V1;False;True;
Animal Weight Intelligence;features/animal_weight_intelligence/presentation/screens/animal_weight_intelligence_screen.dart;animal_weight_intelligence;AVANCADO_POS_V1;False;True;
Atlas Advanced Ai;features/atlas_advanced_ai/presentation/screens/atlas_advanced_ai_screen.dart;atlas_advanced_ai;AVANCADO_POS_V1;False;True;
Atlas Ai;features/atlas_ai/presentation/screens/atlas_ai_screen.dart;atlas_ai;AVANCADO_POS_V1;False;True;
Atlas Ai Operation Actions;features/atlas_ai/presentation/screens/atlas_ai_operation_actions_screen.dart;atlas_ai;AVANCADO_POS_V1;False;False;
Atlas Ai Conversation;features/atlas_ai_2/presentation/screens/atlas_ai_conversation_screen.dart;atlas_ai_2;AVANCADO_POS_V1;False;False;
Atlas Executive Ai;features/atlas_ai_2/presentation/screens/atlas_executive_ai_screen.dart;atlas_ai_2;AVANCADO_POS_V1;False;False;
Atlas Bi;features/atlas_bi/presentation/screens/atlas_bi_screen.dart;atlas_bi;AVANCADO_POS_V1;False;False;
Atlas Bi Benchmark;features/atlas_bi/presentation/screens/atlas_bi_benchmark_screen.dart;atlas_bi;AVANCADO_POS_V1;False;False;
Atlas Bi Forecast;features/atlas_bi/presentation/screens/atlas_bi_forecast_screen.dart;atlas_bi;AVANCADO_POS_V1;False;False;
Atlas Bi Hub;features/atlas_bi/presentation/screens/atlas_bi_hub_screen.dart;atlas_bi;AVANCADO_POS_V1;False;False;
Atlas Bi Management Dashboard;features/atlas_bi/presentation/screens/atlas_bi_management_dashboard_screen.dart;atlas_bi;AVANCADO_POS_V1;False;False;
Atlas Bi Analytics;features/atlas_bi_analytics/presentation/screens/atlas_bi_analytics_screen.dart;atlas_bi_analytics;AVANCADO_POS_V1;False;False;
Atlas Environmental Ai;features/atlas_environmental_ai/presentation/screens/atlas_environmental_ai_screen.dart;atlas_environmental_ai;AVANCADO_POS_V1;False;True;
Atlas Executive Intelligence;features/atlas_executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart;atlas_executive_intelligence;AVANCADO_POS_V1;False;True;
Atlas Intelligence;features/atlas_intelligence/presentation/screens/atlas_intelligence_screen.dart;atlas_intelligence;AVANCADO_POS_V1;False;False;
Atlas Intelligence Center;features/atlas_intelligence_center/presentation/screens/atlas_intelligence_center_screen.dart;atlas_intelligence_center;AVANCADO_POS_V1;False;False;
Atlas Intelligence Reports;features/atlas_intelligence_reports_experience/presentation/screens/atlas_intelligence_reports_screen.dart;atlas_intelligence_reports_experience;AVANCADO_POS_V1;False;True;
Atlas Land Intelligence;features/atlas_land_intelligence/presentation/screens/atlas_land_intelligence_screen.dart;atlas_land_intelligence;AVANCADO_POS_V1;False;True;
Atlas Precision Livestock;features/atlas_precision_livestock/presentation/screens/atlas_precision_livestock_screen.dart;atlas_precision_livestock;AVANCADO_POS_V1;False;True;
Atlas Predictive Ai;features/atlas_predictive_ai_suite/presentation/screens/atlas_predictive_ai_screen.dart;atlas_predictive_ai_suite;AVANCADO_POS_V1;False;True;
Atlas Reproductive Ai;features/atlas_reproductive_ai/presentation/screens/atlas_reproductive_ai_screen.dart;atlas_reproductive_ai;AVANCADO_POS_V1;False;True;
Atlas Supply Chain;features/atlas_supply_chain/presentation/screens/atlas_supply_chain_screen.dart;atlas_supply_chain;AVANCADO_POS_V1;False;True;
Atlas Ecosystem;features/atlas_sustainability_ecosystem/presentation/screens/atlas_ecosystem_screen.dart;atlas_sustainability_ecosystem;AVANCADO_POS_V1;False;True;
Atlas Veterinary Ai;features/atlas_veterinary_ai/presentation/screens/atlas_veterinary_ai_screen.dart;atlas_veterinary_ai;AVANCADO_POS_V1;False;True;
Atlas Action Attention;core/operational_intelligence/action_plan/atlas_action_attention_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Agriculture;core/operational_intelligence/action_plan/atlas_agriculture_screen.dart;core;AVANCADO_POS_V1;False;False;sample
Atlas Asset Maintenance;core/operational_intelligence/action_plan/atlas_asset_maintenance_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Climate;core/operational_intelligence/action_plan/atlas_climate_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Command Center Action Plan;core/operational_intelligence/action_plan/atlas_command_center_action_plan_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Command Center Details;core/operational_intelligence/presentation/screens/atlas_command_center_details_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Economic Intelligence;core/operational_intelligence/action_plan/atlas_economic_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Economic Scenario;core/operational_intelligence/action_plan/atlas_economic_scenario_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Esg;core/operational_intelligence/action_plan/atlas_esg_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Event Analytics;core/event_center/atlas_event_analytics_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Event Detail;core/event_center/atlas_event_detail_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Execution Audit;core/operational_intelligence/action_plan/atlas_execution_audit_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Execution Meeting;core/operational_intelligence/action_plan/atlas_execution_meeting_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Execution Weekly Review;core/operational_intelligence/action_plan/atlas_execution_weekly_review_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Executive 360;core/operational_intelligence/action_plan/atlas_executive_360_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Executive Intelligence;core/operational_intelligence/action_plan/atlas_executive_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Financial Management;core/operational_intelligence/action_plan/atlas_financial_management_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Health Intelligence;core/operational_intelligence/action_plan/atlas_health_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Health Strategy;core/operational_intelligence/action_plan/atlas_health_strategy_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Inventory Management;core/operational_intelligence/action_plan/atlas_inventory_management_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Meeting Decision Monitoring;core/operational_intelligence/action_plan/atlas_meeting_decision_monitoring_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Nutrition Intelligence;core/operational_intelligence/action_plan/atlas_nutrition_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Nutrition Strategy;core/operational_intelligence/action_plan/atlas_nutrition_strategy_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Pasture Management;core/operational_intelligence/action_plan/atlas_pasture_management_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Pasture Strategy;core/operational_intelligence/action_plan/atlas_pasture_strategy_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas People Management;core/operational_intelligence/action_plan/atlas_people_management_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Reproductive Intelligence;core/operational_intelligence/action_plan/atlas_reproductive_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Reproductive Strategy;core/operational_intelligence/action_plan/atlas_reproductive_strategy_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Results Intelligence;core/operational_intelligence/action_plan/atlas_results_intelligence_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Strategy Performance;core/operational_intelligence/action_plan/atlas_strategy_performance_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Team Management;core/operational_intelligence/action_plan/atlas_team_management_screen.dart;core;AVANCADO_POS_V1;False;False;
Atlas Data Intelligence;features/data_intelligence/presentation/screens/atlas_data_intelligence_screen.dart;data_intelligence;AVANCADO_POS_V1;False;False;
Atlas Decision Intelligence Lab;features/decision_intelligence_lab/presentation/screens/atlas_decision_intelligence_lab_screen.dart;decision_intelligence_lab;AVANCADO_POS_V1;False;False;
Atlas Digital Twin;features/digital_twin/presentation/screens/atlas_digital_twin_screen.dart;digital_twin;AVANCADO_POS_V1;False;False;demo
Atlas Executive Ai Advisor;features/executive_ai_advisor/presentation/screens/atlas_executive_ai_advisor_screen.dart;executive_ai_advisor;AVANCADO_POS_V1;False;False;
Atlas Executive Brain;features/executive_brain/presentation/screens/atlas_executive_brain_screen.dart;executive_brain;AVANCADO_POS_V1;False;False;
Atlas Executive Brain Historical Intelligence;features/executive_brain/presentation/screens/atlas_executive_brain_historical_intelligence_screen.dart;executive_brain;AVANCADO_POS_V1;False;False;
Atlas Executive Brain History;features/executive_brain/presentation/screens/atlas_executive_brain_history_screen.dart;executive_brain;AVANCADO_POS_V1;False;False;
Atlas Executive Intelligence;features/executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart;executive_intelligence;AVANCADO_POS_V1;False;False;
Atlas Performance Dashboard;features/performance_intelligence/presentation/screens/atlas_performance_dashboard_screen.dart;performance_intelligence;AVANCADO_POS_V1;False;False;
Atlas Precision Hub;features/precision_hub/presentation/screens/atlas_precision_hub_screen.dart;precision_hub;AVANCADO_POS_V1;False;False;
Atlas Predictive;features/predictive/presentation/screens/atlas_predictive_screen.dart;predictive;AVANCADO_POS_V1;False;True;
Atlas Predictive Ai;features/predictive_ai/presentation/screens/atlas_predictive_ai_screen.dart;predictive_ai;AVANCADO_POS_V1;False;False;
Atlas Predictive Analytics;features/predictive_analytics/presentation/screens/atlas_predictive_analytics_screen.dart;predictive_analytics;AVANCADO_POS_V1;False;False;
Atlas Recommendation Intelligence;features/recommendation_intelligence/presentation/screens/atlas_recommendation_intelligence_screen.dart;recommendation_intelligence;AVANCADO_POS_V1;False;False;
Atlas Action Plan;features/action_plan/presentation/screens/atlas_action_plan_screen.dart;action_plan;REVISAR;False;True;
Animal Document Form;features/animal_document/presentation/screens/animal_document_form_screen.dart;animal_document;REVISAR;False;False;
Animal Document List;features/animal_document/presentation/screens/animal_document_list_screen.dart;animal_document;REVISAR;False;True;
Animal Event Form;features/animal_event/presentation/screens/animal_event_form_screen.dart;animal_event;REVISAR;False;False;
Animal Timeline;features/animal_event/presentation/screens/animal_timeline_screen.dart;animal_event;REVISAR;False;True;
Animal Executive Panel;features/animal_executive_panel/presentation/screens/animal_executive_panel_screen.dart;animal_executive_panel;REVISAR;False;True;
Animal Genealogy;features/animal_genealogy/presentation/screens/animal_genealogy_screen.dart;animal_genealogy;REVISAR;False;False;
Animal Movement Form;features/animal_movement/presentation/screens/animal_movement_form_screen.dart;animal_movement;REVISAR;False;False;
Animal Movement List;features/animal_movement/presentation/screens/animal_movement_list_screen.dart;animal_movement;REVISAR;False;True;
Animal Operations Center;features/animal_operations_center/presentation/screens/animal_operations_center_screen.dart;animal_operations_center;REVISAR;False;True;
Animal Photo Form;features/animal_photo/presentation/screens/animal_photo_form_screen.dart;animal_photo;REVISAR;False;False;
Animal Photo Gallery;features/animal_photo/presentation/screens/animal_photo_gallery_screen.dart;animal_photo;REVISAR;False;True;
Animal Weight Form;features/animal_weight/presentation/screens/animal_weight_form_screen.dart;animal_weight;REVISAR;False;False;
Animal Weight List;features/animal_weight/presentation/screens/animal_weight_list_screen.dart;animal_weight;REVISAR;False;True;
Animal Zootechnical Dashboard;features/animal_zootechnical/presentation/screens/animal_zootechnical_dashboard_screen.dart;animal_zootechnical;REVISAR;False;False;
Atlas Advanced Dashboard;features/atlas_advanced/presentation/screens/atlas_advanced_dashboard_screen.dart;atlas_advanced;REVISAR;False;False;
Atlas Automation Operations;features/atlas_automation_operations/presentation/screens/atlas_automation_operations_screen.dart;atlas_automation_operations;REVISAR;False;True;
Atlas Backend Foundation;features/atlas_backend_foundation/presentation/screens/atlas_backend_foundation_screen.dart;atlas_backend_foundation;REVISAR;False;True;
Atlas Business Dashboard;features/atlas_business/presentation/screens/atlas_business_dashboard_screen.dart;atlas_business;REVISAR;False;False;
Atlas Financial Integrations;features/atlas_financial_integrations/presentation/screens/atlas_financial_integrations_screen.dart;atlas_financial_integrations;REVISAR;False;True;
Atlas Livestock Integration;features/atlas_livestock_integration/presentation/screens/atlas_livestock_integration_screen.dart;atlas_livestock_integration;REVISAR;False;True;
Atlas Official Integrations;features/atlas_official_integrations/presentation/screens/atlas_official_integrations_screen.dart;atlas_official_integrations;REVISAR;False;True;
Atlas Os;features/atlas_os/presentation/screens/atlas_os_screen.dart;atlas_os;REVISAR;False;False;
Atlas Reproductive Premium;features/atlas_reproductive_premium/presentation/screens/atlas_reproductive_premium_screen.dart;atlas_reproductive_premium;REVISAR;False;True;
Atlas Rural Business;features/atlas_rural_business/presentation/screens/atlas_rural_business_screen.dart;atlas_rural_business;REVISAR;False;True;
Atlas Sprints Dashboard;features/atlas_sprints_11_15/presentation/screens/atlas_sprints_dashboard_screen.dart;atlas_sprints_11_15;REVISAR;False;False;
Atlas Sprints 16 20 Dashboard;features/atlas_sprints_16_20/presentation/screens/atlas_sprints_16_20_dashboard_screen.dart;atlas_sprints_16_20;REVISAR;False;False;
Atlas Sprints 21 25 Dashboard;features/atlas_sprints_21_25/presentation/screens/atlas_sprints_21_25_dashboard_screen.dart;atlas_sprints_21_25;REVISAR;False;False;
Atlas Automation Strategy;features/automation_strategy/presentation/screens/atlas_automation_strategy_screen.dart;automation_strategy;REVISAR;False;False;
Atlas Autonomous Consultant;features/autonomous_consultant/presentation/screens/atlas_autonomous_consultant_screen.dart;autonomous_consultant;REVISAR;False;False;
Atlas Benefits Realization;features/benefits_realization/presentation/screens/atlas_benefits_realization_screen.dart;benefits_realization;REVISAR;False;False;
Atlas Command Center;features/command_center/presentation/screens/atlas_command_center_screen.dart;command_center;REVISAR;False;False;
Atlas Consultancy Workflow;features/consultancy_workflow/presentation/screens/atlas_consultancy_workflow_screen.dart;consultancy_workflow;REVISAR;False;False;
Atlas Continuous Improvement;features/continuous_improvement/presentation/screens/atlas_continuous_improvement_screen.dart;continuous_improvement;REVISAR;False;True;
Atlas Event Center;core/event_center/atlas_event_center_screen.dart;core;REVISAR;False;False;
Atlas Foundation Center;core/foundation/atlas_foundation_center_screen.dart;core;REVISAR;False;False;
Atlas Integration Core;core/integration/atlas_integration_core_screen.dart;core;REVISAR;False;False;
Atlas Operational Memory;core/operational_memory/atlas_operational_memory_screen.dart;core;REVISAR;False;False;
Atlas System Center;core/system_center/atlas_system_center_screen.dart;core;REVISAR;False;False;
Atlas Decision Engine;features/decision_engine/presentation/screens/atlas_decision_engine_screen.dart;decision_engine;REVISAR;False;False;
Atlas Decision Engine V2;features/decision_engine_v2/presentation/screens/atlas_decision_engine_v2_screen.dart;decision_engine_v2;REVISAR;False;False;
Atlas Decision Tracking;features/decision_tracking/presentation/screens/atlas_decision_tracking_screen.dart;decision_tracking;REVISAR;False;False;
Atlas Comparative Diagnostic;features/diagnostics/presentation/screens/atlas_comparative_diagnostic_screen.dart;diagnostics;REVISAR;False;False;
Atlas Diagnostic;features/diagnostics/presentation/screens/atlas_diagnostic_screen.dart;diagnostics;REVISAR;False;False;
Atlas Executive Alerts;features/executive_alerts/presentation/screens/atlas_executive_alerts_screen.dart;executive_alerts;REVISAR;False;True;
Atlas Executive Core;features/executive_core/presentation/screens/atlas_executive_core_screen.dart;executive_core;REVISAR;False;False;
Atlas Executive Goal History;features/executive_goals/presentation/screens/atlas_executive_goal_history_screen.dart;executive_goals;REVISAR;False;False;
Atlas Executive Goals;features/executive_goals/presentation/screens/atlas_executive_goals_screen.dart;executive_goals;REVISAR;False;True;
Atlas Executive Kpi History;features/executive_kpis/presentation/screens/atlas_executive_kpi_history_screen.dart;executive_kpis;REVISAR;False;False;
Atlas Executive Kpis;features/executive_kpis/presentation/screens/atlas_executive_kpis_screen.dart;executive_kpis;REVISAR;False;True;
Farm Agenda Form;features/farm_agenda/presentation/screens/farm_agenda_form_screen.dart;farm_agenda;REVISAR;False;False;
Farm Agenda List;features/farm_agenda/presentation/screens/farm_agenda_list_screen.dart;farm_agenda;REVISAR;False;True;
Atlas Farm Audit;features/farm_audit/presentation/screens/atlas_farm_audit_screen.dart;farm_audit;REVISAR;False;False;
Atlas Operations Center;features/farm_operations/presentation/screens/atlas_operations_center_screen.dart;farm_operations;REVISAR;False;False;
Indicators;features/indicators/presentation/screens/indicators_screen.dart;indicators;REVISAR;False;True;
Atlas Integration Ecosystem;features/integration_ecosystem/presentation/screens/atlas_integration_ecosystem_screen.dart;integration_ecosystem;REVISAR;False;False;
Atlas Integration Center;features/integration_hub/presentation/screens/atlas_integration_center_screen.dart;integration_hub;REVISAR;False;False;
Atlas Investment Capital;features/investment_capital_allocation/presentation/screens/atlas_investment_capital_screen.dart;investment_capital_allocation;REVISAR;False;False;
Atlas Knowledge Learning;features/knowledge_learning/presentation/screens/atlas_knowledge_learning_screen.dart;knowledge_learning;REVISAR;False;True;
Atlas Mission Control;features/mission_control/presentation/screens/atlas_mission_control_screen.dart;mission_control;REVISAR;False;False;
Atlas Optimization;features/optimization_engine/presentation/screens/atlas_optimization_screen.dart;optimization_engine;REVISAR;False;False;
Atlas Optimization Result;features/optimization_engine/presentation/screens/atlas_optimization_result_screen.dart;optimization_engine;REVISAR;False;False;
Atlas Performance Center;features/performance_center/presentation/screens/atlas_performance_center_screen.dart;performance_center;REVISAR;False;True;
Atlas Portfolio Management;features/portfolio_management/presentation/screens/atlas_portfolio_management_screen.dart;portfolio_management;REVISAR;False;False;
Atlas Realtime Center;features/realtime/presentation/screens/atlas_realtime_center_screen.dart;realtime;REVISAR;False;False;
Report Action List;features/reports/presentation/screens/report_action_list_screen.dart;reports;REVISAR;False;True;
Reports;features/reports/presentation/screens/reports_screen.dart;reports;REVISAR;False;True;
Atlas Scenario Result;features/scenario_simulator/presentation/screens/atlas_scenario_result_screen.dart;scenario_simulator;REVISAR;False;False;
Atlas Scenario Simulator;features/scenario_simulator/presentation/screens/atlas_scenario_simulator_screen.dart;scenario_simulator;REVISAR;False;False;
Atlas Strategic Alignment;features/strategic_alignment/presentation/screens/atlas_strategic_alignment_screen.dart;strategic_alignment;REVISAR;False;False;
Atlas Strategic Capacity;features/strategic_capacity/presentation/screens/atlas_strategic_capacity_screen.dart;strategic_capacity;REVISAR;False;False;
Atlas Execution Engine;features/strategic_execution_engine/presentation/screens/atlas_execution_engine_screen.dart;strategic_execution_engine;REVISAR;False;False;
